flair_location_name;gmaps_place_id;gmaps_location_type;gmaps_location_lat;gmaps_location_lng;gmaps_formatted_address;gmaps_locality_long_name;gmaps_locality_short_name;gmaps_administrative_area_level_3_long_name;gmaps_administrative_area_level_3_short_name;gmaps_administrative_area_level_2_long_name;gmaps_administrative_area_level_2_short_name;gmaps_administrative_area_level_1_long_name;gmaps_administrative_area_level_1_short_name;gmaps_country_long_name;gmaps_country_short_name;gmaps_postal_code_long_name;gmaps_postal_code_short_name;gmaps_postal_town_long_name;gmaps_postal_town_short_name;gmaps_neighborhood_long_name;gmaps_neighborhood_short_name;gmaps_political_long_name;gmaps_political_short_name;gmaps_colloquial_area_long_name;gmaps_colloquial_area_short_name;gmaps_establishment_long_name;gmaps_establishment_short_name;gmaps_street_number_long_name;gmaps_street_number_short_name;gmaps_route_long_name;gmaps_route_short_name;gmaps_postal_code_suffix_long_name;gmaps_postal_code_suffix_short_name;gmaps_subpremise_long_name;gmaps_subpremise_short_name;gmaps_continent_long_name;gmaps_continent_short_name;gmaps_premise_long_name;gmaps_premise_short_name;gmaps_airport_long_name;gmaps_airport_short_name;gmaps_administrative_area_level_4_long_name;gmaps_administrative_area_level_4_short_name;gmaps_long_name;gmaps_short_name;gmaps_archipelago_long_name;gmaps_archipelago_short_name;gmaps_intersection_long_name;gmaps_intersection_short_name;gmaps_plus_code_long_name;gmaps_plus_code_short_name;gmaps_art_gallery_long_name;gmaps_art_gallery_short_name;gmaps_administrative_area_level_5_long_name;gmaps_administrative_area_level_5_short_name;gmaps_amusement_park_long_name;gmaps_amusement_park_short_name;gmaps_church_long_name;gmaps_church_short_name;gmaps_bar_long_name;gmaps_bar_short_name;gmaps_town_square_long_name;gmaps_town_square_short_name;gmaps_cafe_long_name;gmaps_cafe_short_name;gmaps_landmark_long_name;gmaps_landmark_short_name;gmaps_bus_station_long_name;gmaps_bus_station_short_name;gmaps_campground_long_name;gmaps_campground_short_name
Pfullendorf;ChIJozbX8ElEmkcRqQq1518CHo0;APPROXIMATE;47.925227;9.2486506;88630 Pfullendorf, Germany;Pfullendorf;Pfullendorf;Sigmaringen;SIG;Tübingen;TÜ;Baden-Württemberg;BW;Germany;DE;88630;88630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baden;ChIJ3wZkgmIbkUcRYEgkDb9IjMY;APPROXIMATE;48.6616037;9.3501336;Baden-Württemberg, Germany;;;;;;;Baden-Württemberg;BW;Germany;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;ChIJR3O5lfDXkUcRqRONVOYOqZY;APPROXIMATE;47.2088348;7.532291;4500 Solothurn, Switzerland;Solothurn;Solothurn;;;Solothurn District;Solothurn District;Solothurn;SO;Switzerland;CH;4500;4500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prag;ChIJi3lwCZyTC0cRkEAWZg-vAAQ;APPROXIMATE;50.0755381;14.4378005;Prague, Czechia;Prague;Prague;;;Hlavní město Praha;Hlavní město Praha;Prague;Prague;Czechia;CZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wien;ChIJn8o2UZ4HbUcRRluiUYrlwv0;APPROXIMATE;48.2081743;16.3738189;Vienna, Austria;Vienna;Vienna;;;Vienna;Vienna;Vienna;Vienna;Austria;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Werthenstein;ChIJn4Xmvhvnj0cRtUsaE68Wekg;APPROXIMATE;47.0483679;8.1000315;Werthenstein, Switzerland;Werthenstein;Werthenstein;;;Entlebuch District;Entlebuch District;Canton of Lucerne;LU;Switzerland;CH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Speyer;ChIJIW-mXZy2l0cR0BvbENXUIgQ;APPROXIMATE;49.3172765;8.441217199999999;67346 Speyer, Germany;Speyer;SP;Rhein-Neckar-Kreis;Rhein-Neckar-Kreis;Karlsruhe;KA;Rhineland-Palatinate;RP;Germany;DE;67346;67346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schweden;ChIJ8fA1bTmyXEYRYm-tjaLruCI;APPROXIMATE;60.12816100000001;18.643501;Sweden;;;;;;;;;Sweden;SE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Villingen;ChIJeXNc6WaWkEcRoInfpbdrHwQ;APPROXIMATE;48.0594021;8.4640869;Villingen-Schwenningen, Germany;Villingen-Schwenningen;Villingen-Schwenningen;Schwarzwald-Baar;Schwarzwald-Baar;Freiburg;Freiburg;Baden-Württemberg;BW;Germany;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trient;ChIJ-8eFbji0jkcR7Hn7uxVf9Fk;APPROXIMATE;46.0556748;6.996041;1929 Trient, Switzerland;Trient;Trient;;;Martigny District;Martigny District;Valais;VS;Switzerland;CH;1929;1929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
